,Commit ID,Commit Message,Comments
1,a897e745f598,HDFS-17393. Remove unused FSNamesytemLock cond in FSNamesystem (#6567),1.Remove unused method 2. Remove unused variable
2,40467519399c,YARN-11041. Replace all occurences of queuePath with the new QueuePath class - followup (#6499),1. Introduce class 2. Replace variable
3,6b80b1e60f1a,"Revert ""YARN-11041. Replace all occurences of queuePath with the new QueuePath class - followup"" (#6497)",1. Replace class
4,dd72e8fbc364,YARN-11041. Replace all occurences of queuePath with the new QueuePath class - followup (#5332),1. Introduce class 2.Replace datatype
5,882f08b4bc1d,HDFS-17237. Remove IPCLoggerChannelMetrics when the logger is closed (#6217),1. Remove unused metrics
6,84dd6247686c,YARN-11531. [Federation] Code cleanup for NodeManager#amrmproxy. (#5841),1.Rename variable
7,680af873777f,YARN-11515. [Federation] Improve DefaultRequestInterceptor#init Code. (#5752),1. Remove unused comment 2. Move method
8,b673ebfec250,HDFS-17070. Remove unused import in DataNodeMetricHelper.java. (#5812). Contributed by farmmamba.,1.Remove unused import
9,9de13f879af6,YARN-11502. Refactor AMRMProxy#FederationInterceptor#registerApplicationMaster. (#5705),1.Rename variable 2.Extract variable 3. Move method
10,241398de3b2c,YARN-11492. Improve createJerseyClient#setConnectTimeout Code. (#5636). Contributed by Shilun Fan.,1. Extract variable 2. Merge conditions 3. Merge duplicate parameters
11,5b22dc6aced7,HDFS-16909. Improve ReplicaMap#mergeAll method. (#5353). Contributed by ZhangHB.,1. Extract variable 2. Move Conditional Inside Loop 3. Merge duplicate parameters
12,0110e24ed867,YARN-11496. Improve TimelineService log format. (#5677). Contributed by Xianming Lei.,1. Remove redundant parameters
13,5ed7e912dcf5,YARN-11469. Refactor FederationStateStoreFacade Cache Code. (#5570),1. Extract class
14,eb1d3ebe2fb1,YARN-11442. Refactor FederationInterceptorREST Code. (#5420),1. Extract method 2. Rename variable 3.replace traditional loops with stream operation
15,2e997d818d00,YARN-11370. [Federation] Refactor MemoryFederationStateStore code. (#5126),1. Extract method 2. Extract variable 3. Rename variable
16,151b71d7affb,MAPREDUCE-7431. ShuffleHandler refactor and fix after Netty4 upgrade. (#5311),1. Extract class
17,5440c75c4abe,YARN-10946. AbstractCSQueue: Create separate class for constructing Queue API objects. Contributed by Peter Szucs,1. Extract class
18,e09e81abe47a,HADOOP-18496: remove unused okhttp.version (#5140). Contributed by PJ Fanning.,Remove unused dependency
19,7cb22eb72d58,YARN-11371. [Federation] Refactor FederationInterceptorREST#createNewApplication\submitApplication Use FederationActionRetry. (#5130),Extract class
20,37bff63c0ffa,Refactor CallerContext's constructor to eliminate duplicate code (#5070),Remove duplicate constructor
21,9adf0ca08997,"YARN-11342. [Federation] Refactor getNewApplication, submitApplication Use FederationActionRetry. (#5005)",Parameterize method
22,62ff4e36cfaa,HDFS-16787. Remove the redundant lock in DataSetLockManager#removeLock (#4948). Contributed by ZanderXu.,Remove redundant parameter
23,b0b2cb4a16d9,HDFS-16783. Remove the redundant lock in deepCopyReplica and getFinalizedBlocks (#4942).  Contributed by ZanderXu.,Remove redundant parameter
24,895f7c51fd10,HDFS-16709. Remove redundant cast in FSEditLogOp.class (#4667). Contributed by ZanderXu.,Remove redundant cast
25,6f7c4c74eaa8,YARN-11235. Refactor Policy Code and Define getReservationHomeSubcluster (#4656),Extract method
26,6463f86f83fc,YARN-11029. Refactor AMRMProxy Service code and Added Some Metrics. (#4650),Extract method
27,fac895828f71,MAPREDUCE-7388. Remove unused variable _eof in GzipCodec.cc (#4429),Remove unused variable
28,a333674785cf,HDFS-16647. Delete unused NameNode#FS_HDFS_IMPL_KEY. (#4525). Contributed by JiangHua Zhu.,Remove unused constant
29,dd819f7904ca,HADOOP-18271.Remove unused Imports in Hadoop Common project (#4392),remove unused imports
30,5d08ffa769d9,YARN-11182. Refactor TestAggregatedLogDeletionService: 2nd phase. Contributed by Szilard Nemeth.,Extract method
31,75bc6cfced30,YARN-11176. Refactor TestAggregatedLogDeletionService. Contributed by Szilard Nemeth.,Extract class 2. Introduce class
32,c9a174a26057,YARN-11175. Refactor LogAggregationFileControllerFactory,Extract class
33,7f5a34dfaa7e,HDFS-16621.Remove unused JNStorage#getCurrentDir() (#4404). Contributed by JiangHua Zhu.,Remove unused method
34,6e11c941703d,HDFS-16576. Remove unused imports in HDFS project (#4389),Remove unused imports
35,7c66266b4e08,YARN-11142.Remove unused Imports in Hadoop YARN project (#4381). Contributed by Ashutosh Gupta.,Remove unused imports
36,9c3330c22fe3,MAPREDUCE-7377. Remove unused imports in MapReduce project (#4299),1. Remove unused import
37,1350539f2de1,HDFS-16465. Remove redundant strings.h inclusions (#4279),1. Remove redundnat string
38,09a69f996bae,YARN-11130. removed unused import (#4276),1.Remove unused import
39,f187e9bcd527,HDFS-16554. Remove unused configuration dfs.namenode.block.deletion.increment. (#4213). Contributed by Chengwei Wang.,1. Remove unsed configuration
40,d60262fe0092,HADOOP-18167. Add metrics to track delegation token secret manager opâ€¦ (#4092),1.Encapsulate Method 
